,cut_number,y,x
1232,10,359,2516
1233,10,359,2517
1234,10,359,2518
1235,10,359,2519
1236,10,359,2520
1237,10,359,2521
1238,10,359,2522
1239,10,359,2523
1240,10,360,2512
1241,10,360,2513
1242,10,360,2514
1243,10,360,2515
1244,10,360,2516
1245,10,360,2517
1246,10,360,2518
1247,10,360,2519
1248,10,360,2520
1249,10,360,2521
1250,10,360,2522
1251,10,360,2523
1252,10,361,2512
1253,10,361,2513
1254,10,361,2514
1255,10,361,2515
1256,10,361,2516
1257,10,361,2517
1258,10,361,2518
1259,10,361,2519
1260,10,361,2520
1261,10,361,2521
1262,10,361,2522
1263,10,361,2523
1264,10,362,2512
1265,10,362,2513
1266,10,362,2514
1267,10,362,2515
1268,10,362,2516
1269,10,362,2517
1270,10,362,2518
1271,10,362,2519
1272,10,362,2520
1273,10,362,2521
1274,10,363,2512
1275,10,363,2513
1276,10,363,2514
1277,10,363,2515
1278,10,363,2516
1279,10,363,2517
1280,10,363,2518
1281,10,363,2519
1282,10,363,2520
1283,10,363,2521
1284,11,258,420
1285,11,258,421
1286,11,258,422
1287,11,258,423
1288,11,259,420
1289,11,259,421
1290,11,259,422
1291,11,259,423
1292,11,260,416
1293,11,260,417
1294,11,260,418
1295,11,260,419
1296,11,260,420
1297,11,260,421
1298,11,260,422
1299,11,260,423
1300,11,260,424
1301,11,260,425
1302,11,261,416
1303,11,261,417
1304,11,261,418
1305,11,261,419
1306,11,261,420
1307,11,261,421
1308,11,261,422
1309,11,261,423
